Rank,Lifter,Lifters Weight,Class,Squat,Bench,Deadlift,Total,Year
1,Brandon Pitre,197.7,198,683.4,451.9,821.2,1956.6,2023
2,Dominique Fuqua,196.6,198,694.4,462.9,738.5,1895.9,2023
3,Kyle De Leon,196.2,198,650.3,487.2,738.5,1876.1,2023
4,Demetrius Smith,198.1,198,639.3,429.9,804.7,1873.9,2023
5,Benjamin Poore,196.4,198,672.4,418.8,760.6,1851.8,2023
6,Sean Noriega,188.9,198,622.8,474,711,1807.8,2023
7,Danial Howell,196.9,198,683.4,363.7,793.6,1840.8,2023
8,Andre Easter II,197.9,198,672.4,457.4,705.4,1835.3,2023
9,Premar Namnama,195.5,198,655.8,462.9,694.4,1813.3,2023
10,Tracy Gilliard,194.2,198,622.8,418.8,760.6,1802.2,2023
